    ,rider                        ,team                                    ,points2023
349 ,Casper van Uden              ,Team dsm - firmenich                    ,     249
350 ,Samuel  Watson               ,Groupama - FDJ                          ,     248.5
351 ,Chris  Hamilton              ,Team dsm - firmenich                    ,     247.5
352 ,Madis  Mihkels               ,Intermarché - Circus - Wanty            ,     247
353 ,Will  Barta                  ,Movistar Team                           ,     245.1
354 ,Norbert  Banaszek            ,HRE Mazowsze Serce Polski               ,     245
355 ,Ben  Turner                  ,INEOS Grenadiers                        ,     244
356 ,Ben  Hermans                 ,Israel - Premier Tech                   ,     244
357 ,Franklin  Archibold          ,Panamá es Cultura y Valores             ,     243
358 ,Emīls  Liepiņš               ,Lidl - Trek                             ,     242.1
359 ,Masaki  Yamamoto             ,JCL Team UKYO                           ,     242
360 ,Behzodek  Rakhimbaev         ,Tashkent City Professional Cycling Team ,     241.3
361 ,Adne van Engelen             ,Roojai Online Insurance                 ,     241
362 ,Ahmet  Örken                 ,Spor Toto Cycling Team                  ,     241
363 ,Mark  Stewart                ,Bolton Equities Black Spoke             ,     241
364 ,Victor  Campenaerts          ,Lotto Dstny                             ,     241
365 ,Ewen  Costiou                ,Team Arkéa Samsic                       ,     239
366 ,Abdulla  Jasim Al-Ali        ,Al Wathba Cycling Team                  ,     239
367 ,Kevin  Geniets               ,Groupama - FDJ                          ,     238.6
368 ,Kamiel  Bonneu               ,Team Flanders - Baloise                 ,     238
369 ,Nícolas  Sessler             ,Global 6 Cycling                        ,     238
370 ,Matúš  Štoček                ,ATT Investments                         ,     236
371 ,Marco  Frigo                 ,Israel - Premier Tech                   ,     235
372 ,Jonathan Klever  Caicedo     ,EF Education - EasyPost                 ,     234.9
373 ,James  Piccoli               ,China Glory Continental Cycling Team    ,     234
374 ,David de la Cruz             ,Astana Qazaqstan Team                   ,     234
375 ,Saeid  Safarzadeh            ,Tianyoude Hotel Cycling Team            ,     234
376 ,Rein  Taaramäe               ,Intermarché - Circus - Wanty            ,     233.9
377 ,Jonas  Rutsch                ,EF Education - EasyPost                 ,     231
378 ,Lukas  Pöstlberger           ,Team Jayco AlUla                        ,     230
379 ,James  Shaw                  ,EF Education - EasyPost                 ,     230
380 ,Max  Kanter                  ,Movistar Team                           ,     229
381 ,Tyler  Stites                ,Project Echelon Racing                  ,     226
382 ,James  Knox                  ,Soudal Quick-Step                       ,     226
383 ,Georgios  Bouglas            ,Matrix Powertag                         ,     225
384 ,Atsushi  Oka                 ,JCL Team UKYO                           ,     224
385 ,Rohan  Dennis                ,Jumbo-Visma                             ,     223.6
386 ,Piet  Allegaert              ,Cofidis                                 ,     223
387 ,Marcin  Budziński            ,HRE Mazowsze Serce Polski               ,     223
388 ,Benjamin  Dyball             ,Victoire Hiroshima                      ,     222
389 ,Colin  Stüssi                ,Team Vorarlberg                         ,     222
390 ,Edvald  Boasson Hagen        ,TotalEnergies                           ,     221
391 ,Nick  Schultz                ,Israel - Premier Tech                   ,     221
392 ,Maximilian  Stedman          ,Beykoz Belediyesi Spor Kulübü           ,     220.4
393 ,Matthew  Riccitello          ,Israel - Premier Tech                   ,     219
394 ,Logan  Currie                ,Bolton Equities Black Spoke             ,     219
395 ,Paul  Daumont                ,AS Bessel                               ,     219
396 ,Gianluca  Brambilla          ,Q36.5 Pro Cycling Team                  ,     219
397 ,Domenico  Pozzovivo          ,Israel - Premier Tech                   ,     219
398 ,Tijmen  Graat                ,Jumbo-Visma Development Team            ,     217
399 ,Carlos  Canal                ,Euskaltel - Euskadi                     ,     216
400 ,Geoffrey  Bouchard           ,AG2R Citroën Team                       ,     216
