,rider,team,points
214,Rafał  Majka ,UAE Team Emirates,348
215,Michael  Storer ,Groupama - FDJ,347
216,Sylvain  Moniquet ,Lotto Soudal,346
217,Valentin  Ferron ,TotalEnergies,344
218,Eddie  Dunbar ,INEOS Grenadiers,344
219,Adrien  Petit ,Intermarché - Wanty - Gobert Matériaux,343
220,Sep  Vanmarcke ,Israel - Premier Tech,343
221,Cian  Uijtdebroeks ,BORA - hansgrohe,341.5
222,Lennert  Teugels ,Tarteletto - Isorex,340.4
223,Jasper De Buyst ,Lotto Soudal,340
224,Connor  Swift ,Team Arkéa Samsic,340
225,Richie  Porte ,INEOS Grenadiers,340
226,Clément  Champoussin ,AG2R Citroën Team,339
227,Wilco  Kelderman ,BORA - hansgrohe,335
228,Sasha  Weemaes ,Sport Vlaanderen - Baloise,330
229,Tom  Sexton ,Bolton Equities Black Spoke Pro Cycling,327
230,Tao  Geoghegan Hart ,INEOS Grenadiers,327
231,Marc  Soler ,UAE Team Emirates,324.5
232,Benjamin  Dyball ,Team UKYO,322
233,Jonathan  Lastra ,Caja Rural - Seguros RGA,320
234,Lorenzo  Fortunato ,EOLO-Kometa,319
235,Johannes  Staune-Mittet ,Jumbo-Visma Development Team,318.8
236,Alessandro  Fedeli ,EOLO-Kometa,318
237,Yevgeniy  Fedorov ,Astana Qazaqstan Team,317.5
238,Victor  Lafay ,Cofidis,317
239,Coen  Vermeltfoort ,VolkerWessels Cycling Team,316
240,Jenthe  Biermans ,Israel - Premier Tech,315
241,Davide  Formolo ,UAE Team Emirates,314
242,Rohan  Dennis ,Jumbo-Visma,313.5
243,Timothy  Dupont ,Bingoal Pauwels Sauces WB,313
244,Anthon  Charmig ,Uno-X Pro Cycling Team,313
245,Nariyuki  Masuda ,Utsunomiya Blitzen,312
246,Bram  Welten ,Groupama - FDJ,311
247,Patrick  Bevin ,Israel - Premier Tech,310
248,Wout  Poels ,Bahrain - Victorious,306
249,Edvald  Boasson Hagen ,TotalEnergies,306
250,Élie  Gesbert ,Team Arkéa Samsic,303
251,Jakub  Mareczko ,Alpecin - Deceuninck,301
252,Alberto  Dainese ,Team DSM,301
253,Emiliano  Contreras ,Chimbas Te Quiero,300
254,Sjoerd  Bax ,Alpecin - Deceuninck,300
255,Samuel  Watson ,Equipe continentale Groupama-FDJ,299
256,Itamar  Einhorn ,Israel - Premier Tech,297
257,Luka  Mezgec ,Team BikeExchange - Jayco,294
258,Stanisław  Aniołkowski ,Bingoal Pauwels Sauces WB,293
259,Bruno  Armirail ,Groupama - FDJ,289.3
260,Andrey  Zeits ,Astana Qazaqstan Team,289
261,Daniel  McLay ,Team Arkéa Samsic,288
262,Lorrenzo  Manzin ,TotalEnergies,288
263,Luis León  Sánchez ,Bahrain - Victorious,288
264,Eduardo  Sepúlveda ,Drone Hopper -  Androni Giocattoli,285
265,Einer  Rubio ,Movistar Team,284
266,Torstein  Træen ,Uno-X Pro Cycling Team,283
267,Florian  Vermeersch ,Lotto Soudal,282
268,Nikias  Arndt ,Team DSM,280
269,Rémi  Cavagna ,Quick-Step Alpha Vinyl Team,278.8
270,Madis  Mihkels ,Team Ampler - Tartu2024,277.5
271,Achraf  Ed Doghmy ,,275
272,Matteo  Jorgenson ,Movistar Team,274
273,Cristián  Rodríguez ,TotalEnergies,274
274,Marceli  Bogusławski ,HRE Mazowsze Serce Polski,273
275,Matthew  Dinham ,Team BridgeLane,272
276,Dawit  Yemane ,BIKE AID,271.8
277,Guillaume  Boivin ,Israel - Premier Tech,271
278,Sam  Welsford ,Team DSM,271
